plz,abgefrage_plz,ort,angebotenes_impfzentrum,public_key_impfzentrum,distanz_zum_impfzentrum(km),json_daten_impfzentrum
26571,26571,Juist, IZ1  Aurich,19748841005837,50,"{'resultList': [{'vaccinationCenterPk': 19748841005837, 'name': ' IZ1  Aurich', 'streetName': 'Georgsheiler Weg', 'streetNumber': '52', 'zipcode': '26624', 'city': 'Südbrookmerland', 'scheduleSaturday': True, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 50, 'outOfStock': True, 'publicAppointment': True}], 'succeeded': True}"
26579,26579,Baltrum, IZ1  Aurich,19748841005837,30,"{'resultList': [{'vaccinationCenterPk': 19748841005837, 'name': ' IZ1  Aurich', 'streetName': 'Georgsheiler Weg', 'streetNumber': '52', 'zipcode': '26624', 'city': 'Südbrookmerland', 'scheduleSaturday': True, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 30, 'outOfStock': True, 'publicAppointment': True}], 'succeeded': True}"
26603-26607,26603,Aurich, IZ1  Aurich,19748841005837,20,"{'resultList': [{'vaccinationCenterPk': 19748841005837, 'name': ' IZ1  Aurich', 'streetName': 'Georgsheiler Weg', 'streetNumber': '52', 'zipcode': '26624', 'city': 'Südbrookmerland', 'scheduleSaturday': True, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 20, 'outOfStock': True, 'publicAppointment': True}], 'succeeded': True}"
26624-26759,26624,Südbrookmerland, IZ1  Aurich,19748841005837,5,"{'resultList': [{'vaccinationCenterPk': 19748841005837, 'name': ' IZ1  Aurich', 'streetName': 'Georgsheiler Weg', 'streetNumber': '52', 'zipcode': '26624', 'city': 'Südbrookmerland', 'scheduleSaturday': True, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 5, 'outOfStock': True, 'publicAppointment': True}], 'succeeded': True}"
26629,26629,Großefehn, IZ1  Aurich,19748841005837,35,"{'resultList': [{'vaccinationCenterPk': 19748841005837, 'name': ' IZ1  Aurich', 'streetName': 'Georgsheiler Weg', 'streetNumber': '52', 'zipcode': '26624', 'city': 'Südbrookmerland', 'scheduleSaturday': True, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 35, 'outOfStock': True, 'publicAppointment': True}], 'succeeded': True}"
26632,26632,Ihlow (Ostfriesland), IZ1  Aurich,19748841005837,15,"{'resultList': [{'vaccinationCenterPk': 19748841005837, 'name': ' IZ1  Aurich', 'streetName': 'Georgsheiler Weg', 'streetNumber': '52', 'zipcode': '26624', 'city': 'Südbrookmerland', 'scheduleSaturday': True, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 15, 'outOfStock': True, 'publicAppointment': True}], 'succeeded': True}"
26639,26639,Wiesmoor, IZ1  Aurich,19748841005837,45,"{'resultList': [{'vaccinationCenterPk': 19748841005837, 'name': ' IZ1  Aurich', 'streetName': 'Georgsheiler Weg', 'streetNumber': '52', 'zipcode': '26624', 'city': 'Südbrookmerland', 'scheduleSaturday': True, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 45, 'outOfStock': True, 'publicAppointment': True}], 'succeeded': True}"
26655,26655,Westerstede,IZ Ammerland Blau,639962007627544,20,"{'resultList': [{'vaccinationCenterPk': 639962007627544, 'name': 'IZ Ammerland Blau', 'streetName': 'Virchowstraße', 'streetNumber': '2', 'zipcode': '26160', 'city': 'Bad Zwischenahn', 'scheduleSaturday': False, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 20, 'outOfStock': True, 'publicAppointment': True}], 'succeeded': True}"
26670,26670,Uplengen,IZ Leer,298206237295810,20,"{'resultList': [{'vaccinationCenterPk': 298206237295810, 'name': 'IZ Leer', 'streetName': 'An der Schule', 'streetNumber': '6', 'zipcode': '26835', 'city': 'Hesel', 'scheduleSaturday': False, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 20, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
26676,26676,Barßel,IZ Cloppenburg,455995613801416,40,"{'resultList': [{'vaccinationCenterPk': 455995613801416, 'name': 'IZ Cloppenburg', 'streetName': 'Am Campingplatz', 'streetNumber': '7', 'zipcode': '49681', 'city': 'Garrel-Petersfeld', 'scheduleSaturday': True, 'scheduleSunday': True, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 40, 'outOfStock': True, 'publicAppointment': True}], 'succeeded': True}"
26683,26683,Saterland,IZ Cloppenburg,455995613801416,45,"{'resultList': [{'vaccinationCenterPk': 455995613801416, 'name': 'IZ Cloppenburg', 'streetName': 'Am Campingplatz', 'streetNumber': '7', 'zipcode': '49681', 'city': 'Garrel-Petersfeld', 'scheduleSaturday': True, 'scheduleSunday': True, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 45, 'outOfStock': True, 'publicAppointment': True}], 'succeeded': True}"
26689,26689,Apen,IZ Ammerland Blau,639962007627544,30,"{'resultList': [{'vaccinationCenterPk': 639962007627544, 'name': 'IZ Ammerland Blau', 'streetName': 'Virchowstraße', 'streetNumber': '2', 'zipcode': '26160', 'city': 'Bad Zwischenahn', 'scheduleSaturday': False, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 30, 'outOfStock': True, 'publicAppointment': True}], 'succeeded': True}"
26721-26725,26721,Emden,IZ Emden,147389149751075,5,"{'resultList': [{'vaccinationCenterPk': 147389149751075, 'name': 'IZ Emden', 'streetName': 'Früchteburger Weg', 'streetNumber': '17-19', 'zipcode': '26721', 'city': 'Emden', 'scheduleSaturday': True, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 5, 'outOfStock': True, 'publicAppointment': True}], 'succeeded': True}"
26736,26736,Krummhörn, IZ1  Aurich,19748841005837,30,"{'resultList': [{'vaccinationCenterPk': 19748841005837, 'name': ' IZ1  Aurich', 'streetName': 'Georgsheiler Weg', 'streetNumber': '52', 'zipcode': '26624', 'city': 'Südbrookmerland', 'scheduleSaturday': True, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 30, 'outOfStock': True, 'publicAppointment': True}], 'succeeded': True}"
26757,26757,Borkum,IZ Leer,298206237295810,105,"{'resultList': [{'vaccinationCenterPk': 298206237295810, 'name': 'IZ Leer', 'streetName': 'An der Schule', 'streetNumber': '6', 'zipcode': '26835', 'city': 'Hesel', 'scheduleSaturday': False, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 105, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
26759,26759,Hinte, IZ1  Aurich,19748841005837,20,"{'resultList': [{'vaccinationCenterPk': 19748841005837, 'name': ' IZ1  Aurich', 'streetName': 'Georgsheiler Weg', 'streetNumber': '52', 'zipcode': '26624', 'city': 'Südbrookmerland', 'scheduleSaturday': True, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 20, 'outOfStock': True, 'publicAppointment': True}], 'succeeded': True}"
26789,26789,Leer (Ostfriesland),IZ Leer,298206237295810,20,"{'resultList': [{'vaccinationCenterPk': 298206237295810, 'name': 'IZ Leer', 'streetName': 'An der Schule', 'streetNumber': '6', 'zipcode': '26835', 'city': 'Hesel', 'scheduleSaturday': False, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 20, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
26802,26802,Moormerland,IZ Leer,298206237295810,20,"{'resultList': [{'vaccinationCenterPk': 298206237295810, 'name': 'IZ Leer', 'streetName': 'An der Schule', 'streetNumber': '6', 'zipcode': '26835', 'city': 'Hesel', 'scheduleSaturday': False, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 20, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
26810,26810,Westoverledingen,IZ Leer,298206237295810,30,"{'resultList': [{'vaccinationCenterPk': 298206237295810, 'name': 'IZ Leer', 'streetName': 'An der Schule', 'streetNumber': '6', 'zipcode': '26835', 'city': 'Hesel', 'scheduleSaturday': False, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 30, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
26817,26817,Rhauderfehn,IZ Leer,298206237295810,25,"{'resultList': [{'vaccinationCenterPk': 298206237295810, 'name': 'IZ Leer', 'streetName': 'An der Schule', 'streetNumber': '6', 'zipcode': '26835', 'city': 'Hesel', 'scheduleSaturday': False, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 25, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
26826,26826,Weener,IZ Leer,298206237295810,35,"{'resultList': [{'vaccinationCenterPk': 298206237295810, 'name': 'IZ Leer', 'streetName': 'An der Schule', 'streetNumber': '6', 'zipcode': '26835', 'city': 'Hesel', 'scheduleSaturday': False, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 35, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
26831,26831,Bunde,IZ Leer,298206237295810,45,"{'resultList': [{'vaccinationCenterPk': 298206237295810, 'name': 'IZ Leer', 'streetName': 'An der Schule', 'streetNumber': '6', 'zipcode': '26835', 'city': 'Hesel', 'scheduleSaturday': False, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 45, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
26835,26835,Brinkum,IZ Leer,298206237295810,5,"{'resultList': [{'vaccinationCenterPk': 298206237295810, 'name': 'IZ Leer', 'streetName': 'An der Schule', 'streetNumber': '6', 'zipcode': '26835', 'city': 'Hesel', 'scheduleSaturday': False, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 5, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
26835,26835,Firrel,IZ Leer,298206237295810,5,"{'resultList': [{'vaccinationCenterPk': 298206237295810, 'name': 'IZ Leer', 'streetName': 'An der Schule', 'streetNumber': '6', 'zipcode': '26835', 'city': 'Hesel', 'scheduleSaturday': False, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 5, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
26835,26835,Hesel,IZ Leer,298206237295810,5,"{'resultList': [{'vaccinationCenterPk': 298206237295810, 'name': 'IZ Leer', 'streetName': 'An der Schule', 'streetNumber': '6', 'zipcode': '26835', 'city': 'Hesel', 'scheduleSaturday': False, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 5, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
26835,26835,Holtland,IZ Leer,298206237295810,5,"{'resultList': [{'vaccinationCenterPk': 298206237295810, 'name': 'IZ Leer', 'streetName': 'An der Schule', 'streetNumber': '6', 'zipcode': '26835', 'city': 'Hesel', 'scheduleSaturday': False, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 5, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
26835,26835,Neukamperfehn,IZ Leer,298206237295810,5,"{'resultList': [{'vaccinationCenterPk': 298206237295810, 'name': 'IZ Leer', 'streetName': 'An der Schule', 'streetNumber': '6', 'zipcode': '26835', 'city': 'Hesel', 'scheduleSaturday': False, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 5, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
26835,26835,Schwerinsdorf,IZ Leer,298206237295810,5,"{'resultList': [{'vaccinationCenterPk': 298206237295810, 'name': 'IZ Leer', 'streetName': 'An der Schule', 'streetNumber': '6', 'zipcode': '26835', 'city': 'Hesel', 'scheduleSaturday': False, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 5, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
26842,26842,Ostrhauderfehn,IZ Leer,298206237295810,20,"{'resultList': [{'vaccinationCenterPk': 298206237295810, 'name': 'IZ Leer', 'streetName': 'An der Schule', 'streetNumber': '6', 'zipcode': '26835', 'city': 'Hesel', 'scheduleSaturday': False, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 20, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
26844,26844,Jemgum,IZ Leer,298206237295810,35,"{'resultList': [{'vaccinationCenterPk': 298206237295810, 'name': 'IZ Leer', 'streetName': 'An der Schule', 'streetNumber': '6', 'zipcode': '26835', 'city': 'Hesel', 'scheduleSaturday': False, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 35, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
26845,26845,Nortmoor,IZ Leer,298206237295810,10,"{'resultList': [{'vaccinationCenterPk': 298206237295810, 'name': 'IZ Leer', 'streetName': 'An der Schule', 'streetNumber': '6', 'zipcode': '26835', 'city': 'Hesel', 'scheduleSaturday': False, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 10, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
26847,26847,Detern,IZ Leer,298206237295810,15,"{'resultList': [{'vaccinationCenterPk': 298206237295810, 'name': 'IZ Leer', 'streetName': 'An der Schule', 'streetNumber': '6', 'zipcode': '26835', 'city': 'Hesel', 'scheduleSaturday': False, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 15, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
26849,26849,Filsum,IZ Leer,298206237295810,10,"{'resultList': [{'vaccinationCenterPk': 298206237295810, 'name': 'IZ Leer', 'streetName': 'An der Schule', 'streetNumber': '6', 'zipcode': '26835', 'city': 'Hesel', 'scheduleSaturday': False, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 10, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
26871,26871,Papenburg,IZ Emsland - Papenburg,88123741899195,5,"{'resultList': [{'vaccinationCenterPk': 88123741899195, 'name': 'IZ Emsland - Papenburg', 'streetName': 'Ölmühlenweg', 'streetNumber': '9', 'zipcode': '26871', 'city': 'Papenburg', 'scheduleSaturday': False, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 5, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
26892,26892,Dörpen,IZ Emsland - Papenburg,88123741899195,15,"{'resultList': [{'vaccinationCenterPk': 88123741899195, 'name': 'IZ Emsland - Papenburg', 'streetName': 'Ölmühlenweg', 'streetNumber': '9', 'zipcode': '26871', 'city': 'Papenburg', 'scheduleSaturday': False, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 15, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
26892,26892,Heede (Emsland),IZ Emsland - Papenburg,88123741899195,15,"{'resultList': [{'vaccinationCenterPk': 88123741899195, 'name': 'IZ Emsland - Papenburg', 'streetName': 'Ölmühlenweg', 'streetNumber': '9', 'zipcode': '26871', 'city': 'Papenburg', 'scheduleSaturday': False, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 15, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
26892,26892,Kluse,IZ Emsland - Papenburg,88123741899195,15,"{'resultList': [{'vaccinationCenterPk': 88123741899195, 'name': 'IZ Emsland - Papenburg', 'streetName': 'Ölmühlenweg', 'streetNumber': '9', 'zipcode': '26871', 'city': 'Papenburg', 'scheduleSaturday': False, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 15, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
26892,26892,Lehe (Emsland),IZ Emsland - Papenburg,88123741899195,15,"{'resultList': [{'vaccinationCenterPk': 88123741899195, 'name': 'IZ Emsland - Papenburg', 'streetName': 'Ölmühlenweg', 'streetNumber': '9', 'zipcode': '26871', 'city': 'Papenburg', 'scheduleSaturday': False, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 15, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
26892,26892,Wippingen,IZ Emsland - Papenburg,88123741899195,15,"{'resultList': [{'vaccinationCenterPk': 88123741899195, 'name': 'IZ Emsland - Papenburg', 'streetName': 'Ölmühlenweg', 'streetNumber': '9', 'zipcode': '26871', 'city': 'Papenburg', 'scheduleSaturday': False, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 15, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
26897,26897,Bockhorst,IZ Emsland - Papenburg,88123741899195,30,"{'resultList': [{'vaccinationCenterPk': 88123741899195, 'name': 'IZ Emsland - Papenburg', 'streetName': 'Ölmühlenweg', 'streetNumber': '9', 'zipcode': '26871', 'city': 'Papenburg', 'scheduleSaturday': False, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 30, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
26897,26897,Breddenberg,IZ Emsland - Papenburg,88123741899195,30,"{'resultList': [{'vaccinationCenterPk': 88123741899195, 'name': 'IZ Emsland - Papenburg', 'streetName': 'Ölmühlenweg', 'streetNumber': '9', 'zipcode': '26871', 'city': 'Papenburg', 'scheduleSaturday': False, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 30, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
26897,26897,Esterwegen,IZ Emsland - Papenburg,88123741899195,30,"{'resultList': [{'vaccinationCenterPk': 88123741899195, 'name': 'IZ Emsland - Papenburg', 'streetName': 'Ölmühlenweg', 'streetNumber': '9', 'zipcode': '26871', 'city': 'Papenburg', 'scheduleSaturday': False, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 30, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
26897,26897,Hilkenbrook,IZ Emsland - Papenburg,88123741899195,30,"{'resultList': [{'vaccinationCenterPk': 88123741899195, 'name': 'IZ Emsland - Papenburg', 'streetName': 'Ölmühlenweg', 'streetNumber': '9', 'zipcode': '26871', 'city': 'Papenburg', 'scheduleSaturday': False, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 30, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
26899,26899,Rhede (Ems),IZ Emsland - Papenburg,88123741899195,20,"{'resultList': [{'vaccinationCenterPk': 88123741899195, 'name': 'IZ Emsland - Papenburg', 'streetName': 'Ölmühlenweg', 'streetNumber': '9', 'zipcode': '26871', 'city': 'Papenburg', 'scheduleSaturday': False, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 20, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
26901,26901,Lorup,IZ Emsland - Papenburg,88123741899195,35,"{'resultList': [{'vaccinationCenterPk': 88123741899195, 'name': 'IZ Emsland - Papenburg', 'streetName': 'Ölmühlenweg', 'streetNumber': '9', 'zipcode': '26871', 'city': 'Papenburg', 'scheduleSaturday': False, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 35, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
26901,26901,Rastdorf,IZ Emsland - Papenburg,88123741899195,35,"{'resultList': [{'vaccinationCenterPk': 88123741899195, 'name': 'IZ Emsland - Papenburg', 'streetName': 'Ölmühlenweg', 'streetNumber': '9', 'zipcode': '26871', 'city': 'Papenburg', 'scheduleSaturday': False, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 35, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
26903,26903,Surwold,IZ Emsland - Papenburg,88123741899195,20,"{'resultList': [{'vaccinationCenterPk': 88123741899195, 'name': 'IZ Emsland - Papenburg', 'streetName': 'Ölmühlenweg', 'streetNumber': '9', 'zipcode': '26871', 'city': 'Papenburg', 'scheduleSaturday': False, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 20, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
26904,26904,Börger,IZ Emsland - Papenburg,88123741899195,20,"{'resultList': [{'vaccinationCenterPk': 88123741899195, 'name': 'IZ Emsland - Papenburg', 'streetName': 'Ölmühlenweg', 'streetNumber': '9', 'zipcode': '26871', 'city': 'Papenburg', 'scheduleSaturday': False, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 20, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
26906,26906,Dersum,IZ Emsland - Papenburg,88123741899195,25,"{'resultList': [{'vaccinationCenterPk': 88123741899195, 'name': 'IZ Emsland - Papenburg', 'streetName': 'Ölmühlenweg', 'streetNumber': '9', 'zipcode': '26871', 'city': 'Papenburg', 'scheduleSaturday': False, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 25, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
26907,26907,Walchum,IZ Emsland - Papenburg,88123741899195,25,"{'resultList': [{'vaccinationCenterPk': 88123741899195, 'name': 'IZ Emsland - Papenburg', 'streetName': 'Ölmühlenweg', 'streetNumber': '9', 'zipcode': '26871', 'city': 'Papenburg', 'scheduleSaturday': False, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 25, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
26909,26909,Neubörger,IZ Emsland - Papenburg,88123741899195,10,"{'resultList': [{'vaccinationCenterPk': 88123741899195, 'name': 'IZ Emsland - Papenburg', 'streetName': 'Ölmühlenweg', 'streetNumber': '9', 'zipcode': '26871', 'city': 'Papenburg', 'scheduleSaturday': False, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 10, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
26909,26909,Neulehe,IZ Emsland - Papenburg,88123741899195,10,"{'resultList': [{'vaccinationCenterPk': 88123741899195, 'name': 'IZ Emsland - Papenburg', 'streetName': 'Ölmühlenweg', 'streetNumber': '9', 'zipcode': '26871', 'city': 'Papenburg', 'scheduleSaturday': False, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 10, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
26919,26919,Brake (Unterweser),IZ Wesermarsch,709991709149318,5,"{'resultList': [{'vaccinationCenterPk': 709991709149318, 'name': 'IZ Wesermarsch', 'streetName': 'Kirchenstraße', 'streetNumber': '17', 'zipcode': '26919', 'city': 'Brake', 'scheduleSaturday': True, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 5, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
26931,26931,Elsfleth,IZ Wesermarsch,709991709149318,20,"{'resultList': [{'vaccinationCenterPk': 709991709149318, 'name': 'IZ Wesermarsch', 'streetName': 'Kirchenstraße', 'streetNumber': '17', 'zipcode': '26919', 'city': 'Brake', 'scheduleSaturday': True, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 20, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
26935-26937,26935,Stadland,IZ Wesermarsch,709991709149318,10,"{'resultList': [{'vaccinationCenterPk': 709991709149318, 'name': 'IZ Wesermarsch', 'streetName': 'Kirchenstraße', 'streetNumber': '17', 'zipcode': '26919', 'city': 'Brake', 'scheduleSaturday': True, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 10, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
26939,26939,Ovelgönne,IZ Wesermarsch,709991709149318,15,"{'resultList': [{'vaccinationCenterPk': 709991709149318, 'name': 'IZ Wesermarsch', 'streetName': 'Kirchenstraße', 'streetNumber': '17', 'zipcode': '26919', 'city': 'Brake', 'scheduleSaturday': True, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 15, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
26954,26954,Nordenham,IZ Wesermarsch,709991709149318,20,"{'resultList': [{'vaccinationCenterPk': 709991709149318, 'name': 'IZ Wesermarsch', 'streetName': 'Kirchenstraße', 'streetNumber': '17', 'zipcode': '26919', 'city': 'Brake', 'scheduleSaturday': True, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 20, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
26969,26969,Butjadingen,IZ Wesermarsch,709991709149318,30,"{'resultList': [{'vaccinationCenterPk': 709991709149318, 'name': 'IZ Wesermarsch', 'streetName': 'Kirchenstraße', 'streetNumber': '17', 'zipcode': '26919', 'city': 'Brake', 'scheduleSaturday': True, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 30, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
27211,27211,Bassum,IZ Diepholz,388653711573632,5,"{'resultList': [{'vaccinationCenterPk': 388653711573632, 'name': 'IZ Diepholz', 'streetName': 'Marie-Hackfeld-Str.', 'streetNumber': '6', 'zipcode': '27211', 'city': 'Bassum', 'scheduleSaturday': False, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 5, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
27232,27232,Sulingen,IZ Diepholz,388653711573632,25,"{'resultList': [{'vaccinationCenterPk': 388653711573632, 'name': 'IZ Diepholz', 'streetName': 'Marie-Hackfeld-Str.', 'streetNumber': '6', 'zipcode': '27211', 'city': 'Bassum', 'scheduleSaturday': False, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 25, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
27239,27239,Twistringen,IZ Diepholz,388653711573632,20,"{'resultList': [{'vaccinationCenterPk': 388653711573632, 'name': 'IZ Diepholz', 'streetName': 'Marie-Hackfeld-Str.', 'streetNumber': '6', 'zipcode': '27211', 'city': 'Bassum', 'scheduleSaturday': False, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 20, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
27243,27243,Beckeln,IZ Oldenburg - Land,857394048932387,20,"{'resultList': [{'vaccinationCenterPk': 857394048932387, 'name': 'IZ Oldenburg - Land', 'streetName': 'Westring', 'streetNumber': '7', 'zipcode': '27793', 'city': 'Wildeshausen', 'scheduleSaturday': True, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 20, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
27243,27243,Colnrade,IZ Oldenburg - Land,857394048932387,20,"{'resultList': [{'vaccinationCenterPk': 857394048932387, 'name': 'IZ Oldenburg - Land', 'streetName': 'Westring', 'streetNumber': '7', 'zipcode': '27793', 'city': 'Wildeshausen', 'scheduleSaturday': True, 'scheduleSunday': False, 'vaccineType': 'mRNA', 'interval1to2': 42, 'distance': 20, 'outOfStock': True, 'publicAppointment': False}], 'succeeded': True}"
